split,index,text,audio_path_list,label
train,0,It's long overdue time to raise the minimum wage.,MMUSED-fallacy/audio_clips/32_2004/713.wav,0
train,1,"There are now over 2,000 more warheads pointed at us today than there were when he was sworn in, and that does not strengthen us.",MMUSED-fallacy/audio_clips/12_1984/150.wav,0
train,2,That is a record the likes of which very few people.,MMUSED-fallacy/audio_clips/44_2020/1308.wav,0
train,3,That was a give away and part of the reason is because lobbyists are able to shape how Medicare works.,MMUSED-fallacy/audio_clips/33_2008/317.wav,0
train,4,And I came to the conclusion that our love was strong enough to be able to do it.,MMUSED-fallacy/audio_clips/28_2000/756.wav,0
train,5,"In the old days we'd see a threat, and we could deal with it if we felt like it or not.",MMUSED-fallacy/audio_clips/31_2004/90.wav,0
train,6,"We think it's important that senior citizens don't suffer this winter, but we need to get on to the business of having a plan to develop our domestic energy resources in producing more supplies, and this administration hasn't produced them.",MMUSED-fallacy/audio_clips/26_2000/462.wav,0
train,7,"And God bless them, every one of them decided on their own to come here this evening.",MMUSED-fallacy/audio_clips/28_2000/693.wav,0
train,8,Big time.,MMUSED-fallacy/audio_clips/26_2000/623.wav,0
train,9,"Then he said that he wouldn't raise taxes again -- no, never, ever, ever.",MMUSED-fallacy/audio_clips/18_1992/380.wav,0
train,10,"And he cut defense an extra $60 billion, threw a lot of people out of work.",MMUSED-fallacy/audio_clips/22_1996/1043.wav,0
train,11,(Applause)  He's got to get this thing more clear.,MMUSED-fallacy/audio_clips/13_1988/708.wav,0
train,12,We haven't been paying attention to them.,MMUSED-fallacy/audio_clips/33_2008/115.wav,0
train,13,"Even in cases of rape and incest, their platform requires that a woman be penalized, that she not be allowed to make a choice, if she believes, in consultation with her family, her doctor, and others, whoever she chooses, that she wants to have an abortion after rape, or incest.",MMUSED-fallacy/audio_clips/18_1992/670.wav,0
train,14,There were three Democratic presidents who led us into war.,MMUSED-fallacy/audio_clips/3_1960/39.wav,0
train,15,Nobody does it right.,MMUSED-fallacy/audio_clips/43_2016/574.wav,0
train,16,It is 1.3 trillion Mr. Vice President.,MMUSED-fallacy/audio_clips/25_2000/864.wav,0
train,17,In the Senate we passed the right of Americans to import drugs from Canada.,MMUSED-fallacy/audio_clips/32_2004/428.wav,0
train,18,I think they may be using the man's own words.,MMUSED-fallacy/audio_clips/27_2000/1019.wav,0
train,19,The United States of America took the initiative in southern Africa.,MMUSED-fallacy/audio_clips/6_1976/81.wav,0
train,20,Are we closer to peace?,MMUSED-fallacy/audio_clips/13_1988/761.wav,0
train,21,I have been in the cabinet.,MMUSED-fallacy/audio_clips/1_1960/241.wav,0
train,22,"As a result of that wonderful experience all over the United States, there is a new spirit in America.",MMUSED-fallacy/audio_clips/7_1976/561.wav,0
train,23,"Should I be fortunate enough to earn your confidence, the mission of the United States military will be to be prepared and ready to fight and win war.",MMUSED-fallacy/audio_clips/28_2000/502.wav,0
train,24,"Well, let's stop for a second and remember where we were eight years ago.",MMUSED-fallacy/audio_clips/41_2016/156.wav,0
train,25,I proved that I will sign reasonable tort reform.,MMUSED-fallacy/audio_clips/22_1996/266.wav,0
train,26,And I'll tell you why I'm satisfied with it.,MMUSED-fallacy/audio_clips/41_2016/754.wav,0
train,27,So let me get to that.,MMUSED-fallacy/audio_clips/36_2008/164.wav,0
train,28,"She never got a college education, even though she was smart as a whip.",MMUSED-fallacy/audio_clips/39_2012/454.wav,0
train,29,"But again, I did not hear a repudiation of Congressman...",MMUSED-fallacy/audio_clips/36_2008/357.wav,0
train,30,"These kinds of approaches are very dangerous to the security, the well being and the peace of mind of the retired people of this country and those approaching retirement age.",MMUSED-fallacy/audio_clips/9_1980/524.wav,1
train,31,But we deserve answers.,MMUSED-fallacy/audio_clips/42_2016/295.wav,0
train,32,I know enough about your story to admire a lot of the things that you have done as a person.,MMUSED-fallacy/audio_clips/27_2000/795.wav,0
train,33,And you know what?,MMUSED-fallacy/audio_clips/33_2008/692.wav,0
train,34,I want the next president to have fast track negotiating authority to open up markets around the world.,MMUSED-fallacy/audio_clips/28_2000/600.wav,0
train,35,"We want to put more responsibility on the lawyers to require, before a case, malpractice, which the vice president just spoke about, have the case reviewed by independent experts to determine if the case is serious and meritorious before it can be filed; hold the lawyers responsible for that, certify that and hold the lawyer financially responsible if they don't do it; have a three-strikes-and-you're-out rule so that a lawyer who files three of these cases without meeting this requirement loses their right to file these cases.",MMUSED-fallacy/audio_clips/30_2004/715.wav,0
train,36,But one of the problems we have in the military is we're in a lot of places around the world.,MMUSED-fallacy/audio_clips/27_2000/325.wav,0
train,37,"Thousands of jobs leaving Michigan, leaving Ohio.",MMUSED-fallacy/audio_clips/41_2016/67.wav,0
train,38,"Indeed, we had to borrow $17 billion to pay the checks.",MMUSED-fallacy/audio_clips/10_1984/187.wav,0
train,39,"We've set up the levels of funding and when it is deployable, I will deploy it.",MMUSED-fallacy/audio_clips/13_1988/711.wav,0
train,40,How would it be resolved when those disputes occur?,MMUSED-fallacy/audio_clips/10_1984/271.wav,0
train,41,Our nation has gone through a very challenging time this year.,MMUSED-fallacy/audio_clips/45_2020/65.wav,0
train,42,We talk about fiscal matters.,MMUSED-fallacy/audio_clips/32_2004/195.wav,0
train,43,We can't shortchange those things.,MMUSED-fallacy/audio_clips/33_2008/284.wav,0
train,44,"And, you know, we've heard a lot about -- from the governor about not much being done in the last eight years, as if the promises that I made eight years ago have not been kept.",MMUSED-fallacy/audio_clips/28_2000/926.wav,0
train,45,"This the same fellow who told you that, don't worry, we're going to end this by the summer.",MMUSED-fallacy/audio_clips/46_2020/84.wav,0
train,46,It's inappropriate.,MMUSED-fallacy/audio_clips/41_2016/1231.wav,0
train,47,"But I do know that, despite his pledge to reduce state Government spending, that it rose from $4.6 billion when he took office in 1967, to $10.2 billion during his eight years in office.",MMUSED-fallacy/audio_clips/8_1980/327.wav,0
train,48,And we uh - had the emperor of Japan here this uh - past year and the net result is Japan and the United States are working more closely together now than at any time in the history of our relationship.,MMUSED-fallacy/audio_clips/6_1976/342.wav,0
train,49,First I want to compliment the governor on his response to those fires and floods in Texas.,MMUSED-fallacy/audio_clips/25_2000/806.wav,0
train,50,"Those are the words of two Republicans, respected, both on the Foreign Relations Committee.",MMUSED-fallacy/audio_clips/31_2004/169.wav,0
train,51,I would not agree to any negotiations or any agreement that involved conduct on the part of the Soviet Union that we couldn't verify every day.,MMUSED-fallacy/audio_clips/12_1984/515.wav,0
train,52,I get the casualty reports every day.,MMUSED-fallacy/audio_clips/29_2004/438.wav,0
train,53,I don't think top-down works in America.,MMUSED-fallacy/audio_clips/41_2016/365.wav,0
train,54,The problem with this version of Niagara Falls is that Senator Dole and Mr. Kemp would put the economy in a barrel and send it over the falls.,MMUSED-fallacy/audio_clips/23_1996/222.wav,0
train,55,I'm proud of that.,MMUSED-fallacy/audio_clips/21_1992/561.wav,0
train,56,George Bush is the man to do this.,MMUSED-fallacy/audio_clips/26_2000/822.wav,0
train,57,And even some in your own party couldn't buy that.,MMUSED-fallacy/audio_clips/22_1996/857.wav,0
train,58,Our nation needs to be credible and strong.,MMUSED-fallacy/audio_clips/28_2000/426.wav,0
train,59,"Then 2 weeks ago he said that after the election, if you win, then James Baker's going to go back to be secretary of state; then a week later, in the debate a few nights ago, he said, no, after the election, if we win, James Baker is going to be in charge of domestic policy.",MMUSED-fallacy/audio_clips/18_1992/382.wav,0
train,60,"Well, we've had four years and there's no enterprise zone.",MMUSED-fallacy/audio_clips/23_1996/194.wav,0
train,61,We have lost 1.4 million jobs in manufacturing under George Bush and Dan Quayle.,MMUSED-fallacy/audio_clips/18_1992/216.wav,0
train,62,"But understand, that was a tactic designed to contain the damage of the previous four years of mismanagement of this war.",MMUSED-fallacy/audio_clips/33_2008/437.wav,0
train,63,Uh - I can only say that my experience is there for the people to consider; Senator Kennedy's is there for the people to consider.,MMUSED-fallacy/audio_clips/1_1960/252.wav,0
train,64,"We have this incredible prosperity, but a lot of people have been left behind.",MMUSED-fallacy/audio_clips/25_2000/1068.wav,0
train,65,"22 million new jobs, very low unemployment nationally.",MMUSED-fallacy/audio_clips/28_2000/930.wav,0
train,66,I'd say around 30 percent.,MMUSED-fallacy/audio_clips/13_1988/339.wav,0
train,67,But I finally did it.,MMUSED-fallacy/audio_clips/10_1984/367.wav,0
train,68,We have peace with freedom.,MMUSED-fallacy/audio_clips/7_1976/570.wav,0
train,69,Senator Dole is correct.,MMUSED-fallacy/audio_clips/22_1996/542.wav,0
train,70,We need a lot of things.,MMUSED-fallacy/audio_clips/41_2016/1168.wav,0
train,71,Let's talk about getting agreements.,MMUSED-fallacy/audio_clips/18_1992/363.wav,0
train,72,He complains about secrecy and yet he is quoted as saying that in the attempt to find a solution in the Middle East that he would hold unpublicized meetings with the Soviet Union - I presume for the purpose of an - imposing a settlement on Israel and the Arab nations.,MMUSED-fallacy/audio_clips/6_1976/152.wav,0
train,73,And there are elements of my proposal that you just outlined which I won't repeat.,MMUSED-fallacy/audio_clips/36_2008/48.wav,0
train,74,The answer to your question is very simple about why I don't go to church.,MMUSED-fallacy/audio_clips/10_1984/203.wav,0
train,75,"And, obviously, stricter interpretation and consolidation of the various regulatory agencies that weren't doing their job, that has brought on this crisis.",MMUSED-fallacy/audio_clips/33_2008/123.wav,0
train,76,Because America must be able to grow enough not only to take care of our needs at home for better education and housing and health - all these things we want.,MMUSED-fallacy/audio_clips/3_1960/341.wav,0
train,77,I got it.,MMUSED-fallacy/audio_clips/36_2008/889.wav,0
train,78,What I object to here is the constant reference to surrendering these islands.,MMUSED-fallacy/audio_clips/3_1960/205.wav,0
train,79,"This idea of nation building is kind of a pejorative phrase, but think about the great conflict of the past century, World War II.",MMUSED-fallacy/audio_clips/27_2000/306.wav,0
train,80,"My message to the troops is also: Thank you for what they're doing, but it's also help is on the way.",MMUSED-fallacy/audio_clips/29_2004/311.wav,0
train,81,But we're also a nation of laws.,MMUSED-fallacy/audio_clips/39_2012/743.wav,0
train,82,We should be providing all the protective gear possible.,MMUSED-fallacy/audio_clips/44_2020/373.wav,0
train,83,"And long before President Bush and I get a tax cut -- and that's who gets it -- long before we do, I'm going to invest in homeland security and I'm going to make sure we're not cutting COPS programs in America and we're fully staffed in our firehouses and that we protect the nuclear and chemical plants.",MMUSED-fallacy/audio_clips/29_2004/243.wav,0
train,84,This man's done virtually nothing.,MMUSED-fallacy/audio_clips/44_2020/995.wav,0
train,85,I think that uh - we should protect our commitments.,MMUSED-fallacy/audio_clips/2_1960/461.wav,0
train,86,It's going to be one of my highest priorities because transportation accounts for about 30 percent of our total energy consumption.,MMUSED-fallacy/audio_clips/36_2008/571.wav,0
train,87,Because they wanted to have the same choice that you and I and Cindy and your wife have had.,MMUSED-fallacy/audio_clips/36_2008/848.wav,0
train,88,They would have won an appeal.,MMUSED-fallacy/audio_clips/41_2016/610.wav,0
train,89,"They left an empty and hollow plan, but we still learned from it.",MMUSED-fallacy/audio_clips/45_2020/174.wav,0
train,90,"And I've worked hard for a long time to make them better, 90 percent of our kids are there.",MMUSED-fallacy/audio_clips/22_1996/815.wav,0
train,91,It's an empty promise.,MMUSED-fallacy/audio_clips/32_2004/125.wav,1
train,92,Under my leadership we're going to win this war in Iraq.,MMUSED-fallacy/audio_clips/29_2004/674.wav,0
train,93,Our rural and farm friends will have continued devastation.,MMUSED-fallacy/audio_clips/10_1984/75.wav,0
train,94,I remember working with Senator Ribicoff from Connecticut on the Hospice program.,MMUSED-fallacy/audio_clips/22_1996/1009.wav,0
